,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,LWCV,ZOAS,Bwd,CR,0.9680910110473633
1,True,2,LWCV,ZIPS,Fwd,Hit,0.6363174915313721
2,True,3,LWCV,ZOPS,Fwd,Hit,0.794710636138916
