,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,XBIV,ZOPF,Fwd,Hit,1.4620115756988525
1,True,2,XBIV,ZIAF,Bwd,CR,1.5923347473144531
2,True,3,XBIV,ZIAS,Fwd,FA,1.5810489654541016
3,True,1,XBIV,ZOPF,Bwd,Miss,1.4765331745147705
4,True,2,XBIV,ZIAF,Fwd,FA,2.3858916759490967
5,True,3,XBIV,ZIAS,Fwd,FA,2.3734586238861084
