,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,KXEZ,ZOPS,Fwd,Hit,0.7609446048736572
1,True,2,KXEZ,ZIAS,Fwd,FA,0.6397669315338135
2,True,3,KXEZ,ZIPS,Fwd,Hit,1.1844825744628906
