,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,WRCT,ZIPS,Fwd,Hit,1.97603440284729
1,True,2,WRCT,ZOAS,Bwd,CR,0.8260798454284668
2,True,3,WRCT,ZOPS,Fwd,Hit,0.7021141052246094
