,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,NGKT,ZOPF,Bwd,Miss,1.4700591564178467
1,True,2,NGKT,ZIPS,Fwd,Hit,1.977968454360962
2,True,3,NGKT,ZOAF,Fwd,FA,1.575627326965332
