,pcode,btn,duration_seconds,n_Btn
0,!g89m2k,60,6.05,1
1,!g89m2k,70,4.5,1
2,!g89m2k,82,3.72,1
3,!g89m2k,96,4.68,1
4,!g89m2k,112,3.25,1
5,!g89m2k,70,3.15,2
6,!g89m2k,96,2.28,2
7,!g89m2k,132,3.32,1
8,!g89m2k,112,2.2,2
9,!g89m2k,132,3.05,2
10,!g89m2k,154,3.81,1
11,!g89m2k,180,4.37,1
12,!g89m2k,132,3.38,3
13,!g89m2k,154,3.25,2
14,!g89m2k,180,2.83,2
