,pcode,btn,duration_seconds,n_Btn
0,4r#6qj9,60,4.3,1
1,4r#6qj9,60,3.72,2
2,4r#6qj9,70,5.38,1
3,4r#6qj9,82,4.88,1
4,4r#6qj9,96,6.68,1
5,4r#6qj9,60,3.23,3
6,4r#6qj9,112,4.48,1
7,4r#6qj9,132,5.33,1
8,4r#6qj9,154,8.02,1
9,4r#6qj9,180,6.77,1
10,4r#6qj9,60,3.67,4
11,4r#6qj9,70,3.9,2
12,4r#6qj9,60,7.68,5
13,4r#6qj9,82,3.67,2
