,pcode,btn,duration_seconds,n_Btn
0,t3q4!7s,60,5.68,1
1,t3q4!7s,154,5.78,1
2,t3q4!7s,96,2.98,1
3,t3q4!7s,60,4.37,2
4,t3q4!7s,180,0.92,1
5,t3q4!7s,82,3.45,1
6,t3q4!7s,60,4.22,3
