,pcode,btn,duration_seconds,n_Btn
0,58!k7lr,60,4.72,1
1,58!k7lr,70,5.3,1
2,58!k7lr,82,4.52,1
3,58!k7lr,96,3.67,1
4,58!k7lr,112,5.07,1
5,58!k7lr,132,4.45,1
6,58!k7lr,112,1.82,2
7,58!k7lr,154,3.45,1
8,58!k7lr,180,3.61,1
