,pcode,btn,duration_seconds,n_Btn
0,6dg8k!1,60,5.69,1
1,6dg8k!1,180,5.1,1
2,6dg8k!1,70,4.4,1
3,6dg8k!1,82,3.82,1
4,6dg8k!1,154,5.32,1
5,6dg8k!1,180,2.78,2
6,6dg8k!1,132,3.67,1
7,6dg8k!1,112,2.67,1
8,6dg8k!1,96,2.95,1
9,6dg8k!1,82,2.56,2
10,6dg8k!1,60,4.3,2
11,6dg8k!1,180,5.92,3
12,6dg8k!1,154,0.43,2
13,6dg8k!1,154,0.46,3
14,6dg8k!1,154,16.29,4
15,6dg8k!1,82,0.0,3
16,6dg8k!1,82,7.11,4
17,6dg8k!1,96,5.01,2
18,6dg8k!1,180,5.33,4
19,6dg8k!1,112,5.62,2
20,6dg8k!1,180,2.96,5
