,pcode,btn,duration_seconds,n_Btn
0,#49uet5,60,5.17,1
1,#49uet5,70,4.47,1
2,#49uet5,82,4.02,1
3,#49uet5,96,3.27,1
4,#49uet5,112,4.23,1
5,#49uet5,132,3.93,1
6,#49uet5,154,5.68,1
7,#49uet5,180,3.77,1
8,#49uet5,60,3.67,2
9,#49uet5,132,2.95,2
