,pcode,btn,duration_seconds,n_Btn
0,2s!m14b,60,5.37,1
1,2s!m14b,70,2.67,1
2,2s!m14b,96,3.47,1
3,2s!m14b,180,3.43,1
4,2s!m14b,154,3.5,1
