,pcode,btn,duration_seconds,n_Btn
0,7k!zs54,60,11.83,1
1,7k!zs54,70,9.7,1
2,7k!zs54,60,0.35,2
3,7k!zs54,60,2.66,3
4,7k!zs54,82,5.68,1
5,7k!zs54,70,2.67,2
6,7k!zs54,60,2.78,4
7,7k!zs54,70,3.32,3
8,7k!zs54,82,2.88,2
9,7k!zs54,96,5.92,1
10,7k!zs54,112,4.42,1
11,7k!zs54,132,7.88,1
12,7k!zs54,154,6.08,1
13,7k!zs54,180,4.67,1
14,7k!zs54,154,3.67,2
15,7k!zs54,132,2.67,2
16,7k!zs54,112,4.67,2
17,7k!zs54,96,4.33,2
18,7k!zs54,82,5.03,3
19,7k!zs54,70,6.88,4
