,pcode,btn,duration_seconds,n_Btn
0,d25!8lo,60,7.48,1
1,d25!8lo,70,3.02,1
2,d25!8lo,82,3.86,1
3,d25!8lo,96,4.15,1
4,d25!8lo,112,4.25,1
5,d25!8lo,132,5.12,1
6,d25!8lo,154,5.07,1
7,d25!8lo,180,5.68,1
8,d25!8lo,60,3.98,2
9,d25!8lo,180,3.7,2
10,d25!8lo,60,12.48,3
11,d25!8lo,96,5.83,2
