,pcode,btn,duration_seconds,n_Btn
0,!0u3he5,60,5.03,1
1,!0u3he5,70,10.12,1
2,!0u3he5,82,5.77,1
3,!0u3he5,96,5.3,1
4,!0u3he5,180,5.48,1
5,!0u3he5,60,5.99,2
6,!0u3he5,154,6.69,1
7,!0u3he5,132,5.38,1
8,!0u3he5,180,7.4,2
9,!0u3he5,60,6.48,3
10,!0u3he5,96,10.5,2
11,!0u3he5,132,10.13,2
12,!0u3he5,154,9.23,2
13,!0u3he5,70,5.68,2
