,pcode,btn,duration_seconds,n_Btn
0,3#j24me,60,5.85,1
1,3#j24me,70,4.95,1
2,3#j24me,96,4.88,1
3,3#j24me,180,3.67,1
4,3#j24me,154,2.5,1
5,3#j24me,60,3.48,2
6,3#j24me,82,3.28,1
7,3#j24me,132,3.78,1
8,3#j24me,180,3.02,2
9,3#j24me,70,8.83,2
