,pcode,btn,duration_seconds,n_Btn
0,v0sp6#5,60,31.8,1
1,v0sp6#5,70,9.88,1
2,v0sp6#5,60,4.72,2
3,v0sp6#5,70,5.33,2
4,v0sp6#5,82,7.05,1
5,v0sp6#5,96,8.03,1
6,v0sp6#5,112,18.38,1
7,v0sp6#5,132,9.32,1
8,v0sp6#5,154,10.32,1
9,v0sp6#5,180,7.42,1
10,v0sp6#5,60,5.6,3
