,pcode,btn,duration_seconds,n_Btn
0,84h#2zk,60,11.85,1
1,84h#2zk,96,4.75,1
2,84h#2zk,180,4.67,1
3,84h#2zk,96,2.67,2
4,84h#2zk,60,3.12,2
5,84h#2zk,82,3.73,1
6,84h#2zk,96,3.67,3
7,84h#2zk,112,2.47,1
8,84h#2zk,132,2.37,1
9,84h#2zk,154,2.97,1
10,84h#2zk,180,0.66,2
11,84h#2zk,180,3.1,3
