,pcode,btn,duration_seconds,n_Btn
0,8!cy10a,60,9.7,1
1,8!cy10a,70,6.38,1
2,8!cy10a,60,2.68,2
3,8!cy10a,82,11.93,1
4,8!cy10a,96,7.75,1
5,8!cy10a,60,4.47,3
6,8!cy10a,112,8.53,1
7,8!cy10a,132,9.28,1
8,8!cy10a,154,10.7,1
9,8!cy10a,180,6.32,1
10,8!cy10a,60,5.45,4
11,8!cy10a,70,2.2,2
