,pcode,btn,duration_seconds,n_Btn
0,9#i0as7,60,4.8,1
1,9#i0as7,70,0.22,1
2,9#i0as7,70,3.37,2
3,9#i0as7,60,2.4,2
4,9#i0as7,132,2.03,1
5,9#i0as7,112,2.67,1
6,9#i0as7,154,1.77,1
7,9#i0as7,180,1.66,1
8,9#i0as7,96,1.93,1
9,9#i0as7,82,2.07,1
10,9#i0as7,96,2.28,2
11,9#i0as7,82,1.92,2
12,9#i0as7,96,1.87,3
13,9#i0as7,70,1.66,3
14,9#i0as7,60,1.66,3
15,9#i0as7,112,1.66,2
16,9#i0as7,132,1.38,2
