,pcode,btn,duration_seconds,n_Btn
0,l29up!1,60,3.68,1
1,l29up!1,70,5.68,1
2,l29up!1,82,7.48,1
3,l29up!1,96,3.67,1
4,l29up!1,132,6.82,1
5,l29up!1,154,5.68,1
6,l29up!1,180,14.71,1
