,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
32,t#jc019,False,17,1,equal,ST2_high_2_a1,P = T1?,Same,2,1,high,112,1.14,82,1.53,82,1.41,No,sure,cr,1.4039218425750732,NA
33,t#jc019,False,18,1,equal,ST2_low_4_a2,P = T2?,Same,2,2,low,112,1.21,70,1.56,70,1.39,Yes,sure,hit,1.018326759338379,NA
34,t#jc019,False,19,1,equal,ST1_high_5_a2,P = T2?,Same,1,2,high,96,1.35,132,0.84,96,1.22,No,sure,cr,1.1044456958770752,NA
35,t#jc019,False,20,1,equal,DT1_high_6_a2,P = T1?,Different,1,2,high,132,0.85,96,1.42,154,0.76,No,sure,miss,1.2368524074554443,NA
36,t#jc019,False,21,1,equal,DT1_high_5_a2,P = T1?,Different,1,2,high,96,1.41,132,0.93,82,1.28,No,quiteSure,miss,3.4426488876342773,NA
37,t#jc019,False,22,1,equal,ST1_low_3_a1,P = T1?,Same,1,1,low,70,1.75,112,1.1,70,1.72,Yes,sure,hit,2.5285651683807373,NA
38,t#jc019,False,23,1,equal,ST1_high_2_a2,P = T2?,Same,1,2,high,112,1.16,82,1.55,112,1.18,No,sure,cr,1.6547317504882812,NA
39,t#jc019,False,24,1,equal,ST2_low_2_a1,P = T1?,Same,2,1,low,132,0.9,82,1.61,82,1.49,No,quiteSure,cr,0.8859727382659912,NA
40,t#jc019,False,25,1,equal,ST1_high_1_a2,P = T2?,Same,1,2,high,82,1.62,112,1.11,82,1.27,No,sure,cr,1.1171324253082275,NA
41,t#jc019,False,26,1,equal,ST2_low_5_a2,P = T2?,Same,2,2,low,96,1.12,154,0.94,154,0.73,Yes,sure,hit,1.169377326965332,NA
42,t#jc019,False,27,1,equal,ST2_low_1_a2,P = T1?,Same,2,2,low,82,1.31,132,0.83,132,1.06,No,sure,cr,1.0437400341033936,NA
43,t#jc019,False,28,1,equal,ST2_low_3_a1,P = T2?,Same,2,1,low,70,1.6,112,1.04,112,1.28,Yes,sure,hit,0.9378921985626221,NA
44,t#jc019,False,29,1,equal,ST2_high_2_a1,P = T2?,Same,2,1,high,112,1.13,82,1.28,82,1.22,Yes,sure,hit,1.1887664794921875,NA
45,t#jc019,False,30,1,equal,ST1_low_6_a2,P = T1?,Same,1,2,low,154,0.73,96,1.26,154,0.92,Yes,quiteSure,hit,2.4722304344177246,NA
46,t#jc019,False,31,1,equal,ST2_high_3_a2,P = T1?,Same,2,2,high,70,1.58,96,1.18,96,1.19,No,sure,cr,1.1629037857055664,NA
47,t#jc019,False,32,1,equal,ST1_low_5_a2,P = T2?,Same,1,2,low,96,1.27,154,0.76,96,1.39,No,quiteSure,cr,1.0714685916900635,NA
48,t#jc019,False,33,1,equal,ST1_high_1_a1,P = T2?,Same,1,1,high,82,1.53,112,0.99,82,1.42,No,quiteSure,cr,1.3610148429870605,NA
